invert,sepia,saturate,hue-rotate,brightness,contrast
70,95,4990,88,123,117
67,42,7455,85,115,126
53,38,5222,88,121,123
52,100,2572,86,116,127
51,33,4550,86,121,121
48,59,2806,87,123,121
37,93,1001,91,130,129
59,96,3644,86,118,129
50,73,2595,86,120,126
56,26,3366,79,109,136
53,95,3315,88,128,117
0,0,0,123,99,103
5,36,673,69,102,113
1,56,3221,88,101,102
4,70,1815,103,100,114
7,43,1051,52,101,119
5,6,7500,61,93,110
2,29,3145,111,110,103
4,93,954,113,103,113
5,67,463,91,95,109
5,6,6225,81,97,108
6,80,387,63,89,108
5,8,6798,79,91,104
8,26,1015,63,97,111
4,18,6701,101,98,106
5,71,1428,81,90,104
3,31,6624,105,92,102
5,70,2774,118,92,110
8,43,702,73,103,111
4,71,2932,102,97,102
8,36,1088,69,91,109
8,9,7134,76,95,106
8,42,1147,77,93,107
7,56,1724,81,97,107
8,64,966,84,93,106
7,53,1929,80,92,105
5,50,5531,115,90,108
8,70,747,74,100,106
9,31,1945,76,100,107
8,23,3993,97,100,105
8,49,2270,92,96,104
8,90,885,88,98,104
8,57,2228,87,99,105
7,83,2046,103,97,104
9,97,628,82,99,108
8,61,2307,96,94,106
8,64,2755,100,91,104
8,31,5597,92,100,105
8,80,2242,99,97,104
8,54,3944,118,90,108
11,50,1967,99,97,111
8,34,7197,96,94,105
12,39,1456,79,104,108
9,77,2053,98,97,105
13,44,1522,82,95,106
9,91,1810,106,97,104
11,94,1330,95,91,104
11,19,7255,96,94,105
11,18,7043,100,102,105
12,31,3913,95,95,105
13,17,6049,94,94,106
12,29,4859,101,91,105
12,17,7205,98,98,104
16,32,2066,83,94,109
13,20,6038,92,98,104
16,28,2772,88,92,109
11,24,7500,112,100,105
12,64,2414,104,94,104
17,64,1052,80,91,108
14,51,2027,93,96,104
16,19,4977,90,97,106
14,50,2957,98,94,107
14,74,1612,98,98,105
13,23,6518,97,102,106
8,99,4901,97,95,104
15,34,3860,100,97,106
18,30,2578,85,93,106
13,93,1961,105,91,104
14,37,4149,99,99,105
15,86,1330,92,103,107
15,52,2479,98,96,103
15,23,6853,99,100,104
13,99,1734,96,102,107
16,23,6236,96,98,105
15,30,5699,97,96,104
18,16,6744,92,101,108
17,82,1483,92,94,106
14,78,2410,102,100,104
15,52,3608,104,98,107
19,46,2362,93,96,107
16,32,5167,99,99,105
17,64,2040,95,99,104
18,39,3662,102,96,104
16,98,1484,93,99,102
17,90,1520,97,100,106
16,47,3826,97,102,107
23,32,2755,88,91,106
18,35,5246,100,95,105
18,37,4126,101,97,104
13,69,4331,102,98,104
22,41,2216,89,97,108
15,93,2667,98,95,102
20,100,1080,89,97,107
17,32,7186,95,98,102
17,81,2624,101,93,107
11,83,4813,122,102,101
12,55,6943,105,103,102
17,94,2028,100,100,104
16,94,2514,99,99,102
15,75,3754,109,94,107
21,31,4416,101,100,102
19,29,7275,102,94,103
20,97,1483,97,95,102
24,20,6884,99,92,106
26,37,2744,90,93,105
15,99,5766,99,91,103
17,100,2629,97,97,106
24,50,2705,93,95,103
15,95,3668,95,99,104
15,94,5236,94,96,106
15,94,6667,105,94,102
24,47,2636,96,97,101
20,96,2239,97,93,109
31,46,1813,86,87,110
20,57,3703,114,97,102
21,100,1696,92,101,107
21,100,2004,100,92,107
21,96,2125,99,94,104
23,97,1731,94,94,109
18,49,5472,107,102,105
23,77,2411,105,90,104
27,98,1157,91,92,106
25,87,1478,93,100,107
23,79,2288,104,96,101
17,100,4889,104,100,102
21,81,5326,101,97,102
27,86,1570,96,92,105
27,72,1807,97,96,105
24,83,1841,102,99,107
24,94,3310,107,89,108
20,100,5033,119,97,103
20,89,6131,112,101,103
21,93,3410,94,100,101
30,84,1529,92,90,105
27,100,6781,123,100,109
20,98,6177,121,103,103
33,69,6521,112,93,101
32,69,7315,122,95,104
25,64,5466,114,96,103
26,97,1624,95,99,104
30,63,6900,119,96,102
32,71,7182,117,98,108
32,93,1054,88,95,108
29,78,4233,95,100,105
29,98,4096,113,97,103
31,88,2789,94,94,108
27,54,4557,102,99,103
28,100,1889,97,94,105
24,55,6706,115,105,103
28,66,3643,111,96,105
38,45,6922,101,95,105
36,25,4375,92,95,105
26,86,2396,109,98,102
37,34,3048,91,94,109
32,29,6068,104,97,106
42,68,6688,111,100,101
33,100,1060,90,97,111
31,95,1683,103,93,108
34,98,1360,92,92,103
32,99,1720,100,94,108
31,81,1976,97,98,105
46,36,5785,90,91,107
31,99,2437,108,99,108
32,71,3549,108,102,105
48,84,5076,100,98,108
43,34,6932,95,97,105
38,31,4520,99,97,104
32,79,2149,99,102,103
38,62,5246,104,104,107
40,74,5431,112,104,110
35,96,1047,88,100,110
38,89,2095,93,98,103
40,20,6698,95,100,103
37,99,1614,93,98,104
36,100,1250,91,97,108
41,78,2440,92,97,105
38,91,2035,93,101,103
38,89,1217,90,98,105
38,96,1254,91,99,102
51,64,5625,96,102,109
39,97,1272,90,97,109
47,85,4266,96,103,110
43,100,2115,89,98,110
41,47,3578,93,105,103
45,51,3478,90,100,109
46,49,5513,95,107,104
43,52,1817,87,98,112
52,80,3167,86,96,114
42,92,2021,89,101,110
43,98,1325,86,96,114
52,83,3948,90,104,108
44,86,2568,91,104,109
48,26,6273,90,102,111
51,88,3775,90,105,108
47,66,3192,89,104,110
47,31,5082,89,105,109
43,75,1156,85,99,116
72,92,5082,86,100,116
46,41,4038,89,107,109
42,87,1287,87,102,115
45,55,2866,89,106,111
45,83,3187,92,110,109
39,96,1682,91,111,108
44,82,2233,88,108,112
44,88,2172,89,107,113
44,98,1666,86,104,117
50,96,2936,88,107,114
60,55,5984,89,108,114
40,96,1714,90,112,111
42,79,2351,90,114,108
44,38,3750,90,113,110
41,86,1239,88,108,118
62,52,7284,90,113,112
65,48,6321,84,102,122
50,40,3095,85,105,119
57,71,4823,89,113,113
72,79,5111,83,102,124
54,74,3902,87,110,116
56,56,6000,90,117,110
43,97,1644,87,111,117
41,80,2075,90,119,109
48,92,2719,88,113,116
44,88,1873,87,112,117
64,41,7162,85,108,123
53,84,2595,84,105,125
53,100,2612,84,108,121
73,74,5773,85,109,122
45,74,2740,89,119,114
43,61,1526,88,113,121
68,69,5886,87,114,119
43,77,1182,86,113,120
45,46,2845,89,119,115
56,76,4164,88,117,118
58,87,3626,85,112,123
58,58,5457,88,119,117
70,70,6179,88,119,117
50,39,5503,90,124,113
59,61,4334,84,112,124
43,98,1726,87,121,116
