invert,sepia,saturate,hue-rotate,brightness,contrast
7,41,2897,80,100,106
9,87,427,70,90,109
7,90,710,78,102,105
2,88,7478,116,99,101
9,17,3740,77,104,107
9,40,2235,83,99,111
8,67,1630,87,92,106
8,51,2356,95,95,106
7,56,2940,93,93,104
8,23,5864,91,101,105
7,98,1698,100,99,104
9,49,2243,104,95,107
9,39,3771,89,98,105
9,46,3313,82,95,107
11,17,4938,87,93,105
9,22,7381,108,94,105
12,32,2924,92,91,107
12,15,5975,89,93,106
15,46,1096,72,90,111
13,48,1717,87,91,112
14,31,1365,72,97,109
9,43,3986,101,99,105
11,26,5302,92,99,104
13,18,5179,94,93,105
11,37,3590,102,97,105
11,23,6864,109,97,105
8,58,5440,100,93,104
15,27,2913,90,95,108
14,48,2450,96,89,107
13,35,2788,90,101,104
13,39,3249,94,97,106
10,41,5269,112,92,102
13,68,1786,93,94,105
16,34,2286,85,95,106
13,59,2139,101,94,105
15,20,6184,89,94,104
14,60,1764,94,101,105
16,15,7480,97,91,107
15,16,6678,96,99,106
14,58,2371,101,94,107
12,55,3853,101,95,104
11,81,2521,104,100,104
18,21,3860,86,96,105
15,24,6817,95,93,104
19,22,3727,88,95,110
16,22,6028,99,97,105
15,58,2515,92,99,104
15,32,5122,111,96,105
14,75,2147,101,102,107
16,25,5807,101,97,105
15,82,1632,102,101,107
19,30,3196,92,94,108
16,89,1747,92,90,104
16,65,2596,100,95,105
16,69,2401,100,95,109
19,21,5942,94,94,106
17,82,1720,95,96,104
14,99,2097,108,99,106
20,23,4555,91,100,105
17,77,2165,99,91,105
15,73,3186,107,92,105
15,41,5087,100,102,105
20,75,1675,95,92,105
18,71,2228,95,95,110
18,33,5786,106,90,104
18,65,2640,99,93,109
17,46,4246,103,94,105
22,25,4280,95,95,106
19,54,2864,98,98,106
19,50,3703,101,91,111
18,40,4258,112,97,107
19,24,6611,101,101,105
19,88,1615,97,97,105
22,23,6678,92,93,105
20,57,2740,103,93,102
24,35,2647,88,98,105
18,91,2298,101,92,106
13,100,5915,93,94,104
23,87,1099,87,99,106
15,95,3035,108,96,101
18,28,7332,115,98,105
19,100,2162,93,93,107
25,83,1121,87,93,107
13,73,6964,90,103,106
23,91,1646,94,92,103
25,75,1449,91,94,105
15,89,4718,96,94,103
24,96,954,86,99,107
19,100,2250,107,94,102
23,41,3904,94,99,103
26,95,1026,88,95,106
24,99,1131,91,99,106
20,38,6387,94,97,105
19,89,7153,111,95,103
17,99,6301,113,96,104
22,100,1666,95,99,105
25,98,5365,107,90,105
24,93,1313,92,103,102
21,76,6358,105,95,106
22,100,2059,98,95,105
25,97,1612,99,92,103
29,95,1038,88,92,106
26,54,6915,118,87,103
24,49,3013,102,104,106
26,97,1197,91,102,107
24,99,1757,97,97,105
22,67,3763,95,98,103
24,89,1860,96,99,101
24,97,1779,99,98,107
27,73,5319,114,92,101
29,94,1223,91,96,107
24,93,5493,107,102,110
29,64,4246,99,91,105
27,95,5047,123,94,105
22,100,3710,119,96,106
29,66,2097,100,96,104
38,60,7320,116,91,104
29,77,1929,93,96,103
29,83,4554,116,95,104
23,99,2243,96,101,103
22,99,2948,108,100,103
25,91,2273,97,100,104
26,96,3843,111,99,104
27,100,1723,100,96,106
35,100,979,88,90,108
37,63,7497,117,99,105
27,78,4009,112,101,103
25,97,2834,103,103,102
38,97,5351,114,100,103
31,93,1053,87,105,107
25,82,3193,108,103,105
40,33,5781,96,92,104
44,55,5382,92,94,102
33,67,4069,106,99,103
35,90,2758,94,97,104
27,97,2493,111,102,101
63,90,6770,105,99,104
37,38,6596,96,101,105
36,99,1332,93,91,105
35,90,1900,97,95,104
37,58,2822,97,96,104
29,86,2590,109,103,106
31,99,1801,97,102,101
35,86,1466,93,96,104
43,73,3066,90,95,106
31,80,2251,102,104,103
41,98,3531,103,99,111
38,33,3487,91,99,108
39,93,1224,90,93,106
42,78,2761,93,96,106
44,30,5129,91,97,106
36,97,1485,93,98,108
36,70,3527,104,105,108
38,64,1825,92,99,105
36,81,1938,93,103,105
39,69,1662,91,98,107
40,91,1225,88,95,109
37,83,1843,94,103,105
36,98,1203,92,101,110
45,77,3152,91,102,106
47,63,4180,92,103,106
40,83,1509,89,99,111
42,74,2847,92,104,107
37,97,1289,90,103,108
42,49,5744,100,111,106
39,99,1065,88,100,112
49,30,5317,89,102,105
46,75,2099,86,98,115
58,58,5849,89,103,109
45,52,3193,89,103,110
45,56,2513,88,102,113
39,100,1014,87,102,113
42,100,1469,87,101,115
41,71,2804,92,110,107
41,95,1000,86,100,118
60,52,6838,90,107,109
47,17,7050,88,105,113
44,79,2073,88,104,115
41,99,1143,87,104,113
51,78,3629,88,108,112
41,62,2083,89,110,109
45,28,3244,87,106,115
44,60,2964,90,112,109
62,75,5061,88,107,114
44,69,1798,86,106,115
68,45,7271,84,101,121
49,65,2095,83,101,121
55,30,7400,87,108,115
55,62,3722,84,103,120
48,87,2577,87,108,117
49,100,2770,88,110,115
54,88,3498,87,110,116
44,84,2590,91,113,115
51,67,3659,89,110,119
62,43,7496,88,112,116
56,33,4261,82,100,127
47,72,2251,86,110,117
49,88,3027,88,116,113
49,45,4498,88,115,116
45,81,1953,87,113,117
60,49,5685,85,110,120
58,88,3116,83,105,126
45,95,1650,87,109,124
42,89,1110,86,113,118
49,39,6163,91,125,108
48,94,2898,89,118,115
53,94,3201,87,116,116
50,89,3018,88,116,118
51,73,3198,87,115,120
42,99,1078,87,113,122
44,93,1466,86,115,119
52,51,3193,85,112,124
55,97,3495,89,119,118
49,83,2821,87,119,117
53,61,2819,83,110,127
48,91,1772,84,113,125
43,84,1132,86,116,122
45,56,2084,87,119,119
47,100,2602,90,121,119
52,32,2157,81,109,129
78,55,7030,81,110,129
47,82,1377,84,113,128
70,65,5765,84,117,123
63,47,6209,86,116,127
47,50,3753,90,127,116
54,92,2787,85,116,126
59,56,5040,85,121,122
38,87,1317,95,126,125
66,71,5077,85,119,125
54,46,5493,88,128,116
47,80,1183,81,117,123
58,46,5025,84,119,127
0,100,14,273,104,104
2,12,5942,122,91,102
7,18,717,10,104,116
1,65,4920,126,100,101
4,33,5242,68,91,110
6,34,1800,121,89,113
3,88,500,76,101,106
3,14,7487,72,100,105
1,77,6733,140,93,101
4,11,5983,90,100,105
4,91,1623,74,101,108
4,87,854,87,93,107
5,14,2919,63,97,106
5,31,2084,77,97,103
2,64,7498,143,85,102
4,40,3227,103,91,103
5,58,2644,118,94,109
6,16,5835,91,96,107
6,90,560,71,100,108
7,54,1274,74,90,106
5,39,7500,86,93,108
4,95,3780,85,94,106
5,44,5299,87,96,105
8,70,596,74,96,106
7,87,785,81,94,105
8,51,1200,80,97,107
8,23,3901,86,97,104
5,46,4810,108,101,104
6,88,2107,108,87,103
8,71,1877,86,91,105
9,99,709,77,93,106
7,58,2437,92,101,104
9,28,4241,95,94,104
10,32,2359,86,97,105
8,46,3023,92,103,106
8,59,2486,106,95,105
11,34,2007,81,97,105
8,36,4541,102,100,105
12,21,4474,90,91,106
11,24,3889,90,96,107
11,56,2038,93,93,107
11,17,5612,86,101,105
11,33,3817,97,95,107
11,15,7500,98,98,106
9,84,2196,99,99,105
11,17,7295,99,95,105
13,21,5139,90,92,104
12,45,2320,89,98,107
11,56,2760,101,96,106
13,19,4977,90,98,105
11,63,2809,97,92,105
12,95,1301,99,96,107
12,63,1909,95,99,105
14,25,5152,91,87,106
14,15,5918,93,102,107
13,20,6757,100,93,105
12,76,2026,98,97,106
12,54,2820,101,102,104
16,25,3535,88,97,105
16,38,3296,97,88,109
15,23,5623,101,94,106
12,62,2445,98,101,104
16,70,1326,88,95,106
15,22,5298,93,101,105
13,58,3211,99,95,108
15,74,2020,94,91,105
17,29,3638,93,95,105
17,31,4293,98,89,108
16,27,5362,98,92,104
18,42,2001,89,96,109
17,22,4563,90,103,105
13,100,1873,105,95,106
16,48,3424,100,94,107
20,19,6284,90,91,109
16,55,3083,98,91,108
14,73,2726,107,95,107
18,69,1478,90,97,105
16,43,3077,93,104,104
18,51,2461,99,93,106
16,57,2258,99,103,104
20,63,2075,90,90,110
15,82,2485,103,94,105
18,24,7193,100,92,104
14,43,5855,97,102,101
17,38,4049,99,101,105
16,98,1803,98,100,105
19,78,1256,89,100,106
12,65,5126,116,98,104
20,58,2086,95,95,107
19,68,1671,92,101,105
19,60,2993,98,89,110
20,58,2557,99,93,103
13,55,7146,94,97,104
21,21,7327,99,94,106
19,33,5617,101,96,105
11,100,7396,96,93,103
18,41,5237,112,93,102
16,100,2655,99,94,105
16,65,4032,103,99,103
19,100,1934,105,90,101
17,76,4012,93,92,104
19,96,2324,101,90,103
20,93,1963,99,90,104
21,99,1387,92,96,107
20,67,3246,93,94,104
14,94,7219,101,96,107
24,18,7194,97,97,103
24,96,1158,91,92,104
18,94,2674,98,94,101
15,100,6822,105,96,103
26,29,4324,93,96,106
21,64,3067,107,95,102
20,54,5832,96,89,105
17,50,5695,101,101,105
24,88,1759,99,91,106
21,91,1792,100,101,105
20,62,4054,101,95,101
24,96,1278,93,98,103
19,93,2643,106,95,103
19,100,2545,95,97,103
22,86,1892,94,101,103
26,76,1798,92,94,106
26,99,1132,90,96,105
17,100,4809,118,94,103
25,97,1609,92,96,107
26,49,5272,90,93,106
27,34,3962,94,101,101
26,88,1721,100,94,104
21,75,6773,120,97,103
22,100,2127,101,97,105
18,88,5532,117,100,102
30,77,3159,95,88,101
23,84,2021,99,103,103
18,83,5677,118,102,102
20,64,7011,125,99,104
22,100,2815,103,96,104
26,51,7499,120,95,104
29,100,1194,92,97,103
41,100,7499,129,101,103
29,100,1180,92,97,104
28,100,1451,95,94,105
27,98,1614,93,99,105
27,88,2888,103,95,104
26,99,2112,95,97,104
23,51,6515,126,100,104
29,91,3747,111,96,109
32,95,1185,91,94,105
26,100,2485,109,96,105
37,42,4843,92,92,107
31,96,1263,91,98,109
30,97,1592,103,92,106
29,98,2353,104,95,107
34,93,966,86,96,108
23,88,2928,108,105,101
38,77,3197,97,93,102
35,86,3838,98,100,104
44,29,6237,94,89,104
33,80,2121,97,94,108
38,68,3456,103,93,108
34,98,1458,92,94,106
34,100,2382,99,97,103
33,27,7140,106,102,104
37,91,2678,98,97,104
35,93,2873,100,100,101
34,89,2365,100,99,107
42,83,4512,103,101,101
39,98,1863,91,94,105
35,86,2398,101,97,110
41,87,3392,99,99,104
38,37,3099,95,99,104
40,94,1587,88,92,113
39,60,1876,92,96,106
42,41,4734,94,100,104
44,53,4348,94,99,106
46,90,4266,99,104,103
39,80,1797,91,98,106
38,90,1731,93,100,105
45,71,3892,94,101,105
42,35,3179,91,99,107
38,94,1782,92,100,108
54,47,6850,92,101,106
43,52,3800,92,103,105
46,100,2841,90,100,108
61,94,3786,84,92,118
38,74,1804,93,104,106
41,73,2623,92,104,107
41,82,1486,88,99,112
48,69,3264,89,100,110
40,73,1445,88,101,110
45,48,2756,88,101,111
39,100,996,87,100,111
48,97,2915,89,102,110
42,19,6672,92,109,105
40,92,1356,88,103,112
40,97,1464,89,105,109
44,98,1134,84,97,120
48,94,2084,85,99,117
42,68,1383,87,102,114
43,100,1733,88,104,111
47,36,3320,87,102,116
47,25,5241,89,108,106
49,97,2951,89,107,111
44,48,2758,89,109,111
44,30,3285,88,108,112
48,75,3472,90,111,110
43,60,2135,89,109,111
41,71,2398,91,115,107
43,98,1723,88,108,114
49,35,6005,90,113,110
44,63,2065,87,108,114
49,37,2775,84,102,121
58,30,7436,86,105,119
58,89,4472,90,113,113
60,48,6216,87,109,116
44,76,2103,90,112,112
60,78,4807,88,112,114
52,40,5655,88,113,114
55,64,4355,87,112,115
52,88,3276,89,110,118
58,80,4983,91,117,114
40,46,2399,91,120,110
54,76,3524,87,110,119
48,83,2024,85,109,121
49,22,5752,87,113,116
43,79,1687,87,115,116
58,94,4073,88,118,113
55,83,3410,86,111,120
59,62,5026,88,113,120
74,76,5621,84,110,121
43,86,1198,87,112,122
63,93,4266,86,114,119
44,87,1838,88,117,117
49,17,6849,87,118,118
43,100,1512,88,116,120
53,90,3282,86,117,118
63,63,5558,87,116,121
42,96,2481,91,131,107
58,32,6807,85,115,122
55,100,2931,85,113,124
48,94,2665,89,121,118
51,50,3889,87,119,119
65,86,5119,91,121,121
73,57,7439,88,121,119
46,96,2213,87,122,118
55,69,3143,85,112,129
52,98,1928,82,111,120
64,55,5677,85,117,124
57,45,5292,86,117,126
45,34,3850,92,124,124
63,60,5748,87,122,121
56,31,7052,87,121,125
49,46,1539,82,114,128
56,44,4597,86,116,131
57,72,2905,80,123,131
49,86,1864,83,128,123
0,86,7442,312,105,113
2,22,7474,88,106,106
5,69,334,76,87,111
3,63,378,47,106,105
5,52,274,103,96,111
4,6,6340,60,97,107
3,18,7496,113,105,111
5,14,3458,56,94,108
4,6,7463,44,86,104
4,95,335,105,83,107
4,15,4418,96,106,104
3,23,6978,118,85,102
6,46,1352,90,92,109
4,99,3625,146,93,116
6,57,735,82,90,107
7,55,545,73,96,109
6,10,6473,82,104,106
4,54,3674,84,98,103
7,40,1282,67,96,108
6,92,1092,101,86,106
5,34,3767,107,98,105
7,12,7499,82,94,106
8,20,2059,76,99,107
8,27,2055,72,96,106
8,17,3665,81,100,105
6,71,2646,101,93,106
8,98,646,75,93,104
7,61,1341,81,105,106
8,94,812,79,99,107
8,22,4999,86,102,107
8,21,5870,93,94,105
9,35,3827,84,92,109
8,71,1510,92,97,104
8,80,1952,95,93,104
9,32,5036,93,94,110
7,61,3351,88,98,104
9,22,6602,99,94,105
10,75,1378,90,92,105
7,47,4725,101,95,104
10,69,1845,94,93,106
10,89,1414,99,92,105
9,25,7073,98,97,104
10,20,6863,100,100,104
13,26,2352,82,97,108
11,42,3191,98,93,105
12,43,2594,97,96,107
12,38,2781,97,93,106
9,48,3712,114,96,103
13,17,7048,102,93,108
12,46,2558,95,99,105
11,37,4443,106,97,105
12,25,4689,94,102,105
15,22,3248,84,101,108
11,62,2365,99,103,107
13,38,3633,102,92,104
13,56,1681,90,101,106
14,38,2441,92,104,106
14,44,2164,88,99,104
15,25,4798,95,93,106
15,21,4545,91,98,105
13,77,2334,100,89,106
16,54,1571,87,96,107
15,31,3905,95,98,107
14,24,6694,107,93,103
15,63,1828,93,99,106
16,79,949,83,100,110
9,77,5424,92,98,103
19,23,3096,84,96,109
14,66,2797,97,92,105
15,54,2735,102,92,106
14,68,2320,105,101,104
15,48,3000,99,102,104
12,58,4387,104,96,104
19,20,4135,86,101,109
16,54,2648,96,95,105
17,20,5275,91,103,103
15,28,6296,105,98,105
15,75,2748,99,93,105
19,26,5136,98,95,109
20,38,2323,88,97,105
17,85,1549,94,96,102
15,76,2455,101,104,108
16,63,2926,98,100,105
22,30,2845,87,96,106
20,53,1966,93,97,106
21,80,1396,88,91,110
20,21,6779,97,96,106
18,28,6707,113,91,107
19,23,7214,98,96,105
20,45,3286,94,95,106
16,77,2634,102,97,105
18,57,2784,102,100,104
21,35,4287,92,94,106
19,96,1264,92,100,104
21,90,1211,88,99,107
18,99,1801,100,96,103
22,46,2172,90,101,104
22,88,1233,89,94,108
18,37,6098,98,95,102
18,85,2241,104,95,106
17,79,3339,94,94,105
23,40,3441,96,94,105
23,90,1064,87,100,104
17,93,5439,94,90,105
21,77,2122,97,95,101
20,73,2668,90,100,111
24,95,1180,91,93,105
24,95,1178,92,94,105
15,99,2650,102,106,106
13,78,7273,103,96,107
24,83,1422,92,98,103
23,92,1329,93,98,106
24,91,1271,92,99,105
20,100,2351,93,92,102
21,87,2184,103,97,105
24,43,4149,102,92,107
16,61,5273,126,99,102
22,92,2037,94,94,105
23,88,1676,101,96,105
22,97,2079,91,96,107
26,100,1090,90,96,104
27,99,1238,92,92,102
19,86,6657,111,97,103
24,93,5798,117,91,104
25,96,1672,102,91,103
19,80,6095,104,100,102
21,100,2382,99,95,103
17,98,5683,115,100,105
29,65,1693,91,95,105
25,56,2525,101,103,106
22,97,4365,109,96,107
26,93,1658,95,95,105
28,59,2539,101,94,103
21,71,5889,110,100,104
27,100,6147,105,105,103
25,60,5570,117,94,104
27,93,1628,96,97,103
23,100,3157,117,94,102
19,99,4783,120,103,103
24,87,3454,118,94,103
27,83,5376,106,101,108
28,60,3570,95,96,103
33,41,6285,106,92,103
32,62,2044,91,94,108
29,65,5011,114,96,103
39,58,6185,103,93,102
36,73,1143,85,92,110
30,99,1446,96,95,102
31,87,1257,90,101,106
38,66,6393,113,97,103
33,48,6575,112,97,108
35,100,1384,94,87,103
35,81,1565,93,89,104
27,40,5511,108,102,106
24,95,3192,113,104,103
27,65,3703,113,102,101
36,52,6568,102,103,102
40,73,5117,108,97,106
37,93,980,86,91,110
39,100,2666,99,91,110
32,98,1711,95,97,106
31,95,1655,97,98,104
40,56,3063,93,94,102
35,97,2365,101,97,105
34,70,2490,100,98,104
38,49,3738,97,98,102
37,74,4432,107,103,104
45,64,5344,100,101,101
40,48,3089,93,97,102
45,79,4642,102,100,108
37,98,876,86,99,110
42,58,2462,90,94,108
41,69,2250,91,96,106
36,100,1487,94,99,103
43,28,4930,92,98,106
45,64,4270,96,100,108
35,91,2470,98,105,106
48,81,4024,93,100,107
39,77,2023,94,99,109
35,100,1093,89,105,109
39,96,1036,88,97,106
47,48,5435,96,102,109
52,40,7082,91,103,106
51,66,3813,88,97,110
40,57,1933,91,102,105
37,93,1167,90,103,104
41,76,2322,91,104,106
38,91,1188,90,103,107
41,70,1953,90,103,109
47,67,3336,89,102,109
43,96,890,84,95,113
41,93,1996,90,105,109
46,57,3551,90,105,109
48,18,6744,88,102,113
43,93,1636,87,100,115
39,91,1321,90,106,109
40,100,988,87,101,115
39,98,1664,90,108,109
41,92,1466,88,105,113
49,98,2797,88,104,114
39,71,1722,90,111,108
70,57,7491,89,108,109
41,95,1937,89,109,110
54,48,5259,88,106,113
47,95,2101,87,102,118
44,99,1886,87,107,115
48,29,6028,89,111,109
43,53,2729,90,113,108
56,36,6304,86,105,117
45,87,1264,86,104,114
49,39,3950,87,105,121
52,57,5015,90,114,110
43,95,2119,89,112,114
47,90,2026,85,107,118
68,64,6872,89,115,111
51,65,2561,84,103,123
54,80,2943,85,103,124
63,43,6662,85,106,120
47,44,4921,94,116,116
48,25,5828,88,114,114
52,28,5674,86,109,119
42,89,1264,86,111,118
51,90,2852,86,111,118
45,90,2312,88,115,115
48,48,3026,87,111,120
50,71,2595,85,108,124
48,20,5197,87,115,116
52,64,2955,84,109,122
45,85,1915,86,115,117
44,75,1513,87,113,122
53,41,6044,90,121,113
63,46,6343,86,112,122
65,70,5037,85,113,121
43,93,1101,85,113,121
52,93,2932,86,116,118
57,27,7308,84,114,122
61,100,3127,83,106,132
56,67,4288,87,118,119
46,24,4440,90,121,119
49,63,2356,85,115,124
39,79,1440,91,126,115
49,95,2164,88,112,130
66,57,5880,85,115,124
50,92,1787,82,111,128
66,59,5909,85,119,122
53,86,3267,86,122,119
51,64,3140,86,119,122
56,33,6649,86,120,122
49,74,2707,85,120,125
43,85,2203,93,124,124
59,71,4048,85,117,127
53,59,4338,84,127,118
55,28,4202,85,110,140
53,95,3057,84,122,127
55,74,3678,89,123,126
0,8,7500,270,107,94
2,23,1711,82,95,104
4,27,4808,96,95,110
6,4,7409,28,96,104
7,57,232,59,96,117
2,15,6121,103,86,103
2,100,3943,114,98,110
2,26,7465,73,98,104
3,40,4847,86,102,105
3,15,3051,118,89,106
2,82,3195,100,90,102
4,26,6283,80,98,105
6,24,1455,69,97,106
6,52,1494,70,90,108
6,7,7499,75,99,107
6,11,7283,91,101,108
4,39,5799,103,100,104
5,21,3688,91,100,104
6,19,7407,80,97,108
4,32,7500,89,92,104
3,94,5581,92,104,109
9,7,7496,75,106,112
9,11,4589,80,92,106
7,14,7027,102,89,105
8,76,731,76,99,107
8,49,1267,79,95,105
8,19,5827,85,95,104
8,68,858,77,98,105
6,30,5269,99,98,102
8,76,946,80,99,105
8,32,5482,96,93,106
6,37,5468,107,95,103
10,32,3135,84,94,109
9,32,3069,87,99,105
9,77,1343,87,91,106
6,39,7500,119,93,103
7,49,4274,95,95,104
8,26,7198,94,96,105
10,39,3180,99,95,105
10,46,2552,98,94,105
11,77,1273,86,93,109
7,100,2832,119,94,106
9,31,4813,102,101,104
12,17,5101,91,95,105
11,70,1402,86,95,105
10,42,3908,104,92,105
12,39,2707,95,100,107
14,34,2637,94,90,108
12,43,3033,97,95,105
13,38,2355,90,97,108
13,36,2727,93,97,103
13,54,2250,88,98,108
14,29,3372,88,92,105
13,77,1300,88,95,105
14,48,1725,88,99,106
16,24,3577,86,94,106
15,30,2877,89,101,106
13,35,4941,99,91,105
13,95,1288,90,100,108
14,29,4106,93,98,105
13,54,2670,100,97,104
9,91,4536,95,94,105
16,46,1778,85,98,106
12,98,1550,102,98,103
12,72,2077,101,101,101
15,37,3465,97,97,104
17,26,4681,94,91,106
18,35,2596,89,95,107
14,70,2094,99,97,106
15,39,4021,97,96,104
16,18,7434,100,101,106
18,21,6696,92,91,107
18,24,5526,98,91,106
16,71,1838,94,100,109
15,55,3546,108,89,104
17,46,2423,92,101,104
17,33,5148,98,92,105
11,90,3546,102,95,105
11,68,6698,93,92,105
15,44,3905,106,100,105
14,82,2775,101,97,104
15,80,2006,104,98,101
16,56,3220,107,93,104
19,29,5187,97,92,105
20,30,4850,100,92,109
17,39,4832,103,95,104
18,72,2170,94,95,105
18,54,3049,96,97,108
17,65,2637,110,95,104
19,95,1299,92,95,104
19,27,6549,104,92,104
18,43,3948,100,98,107
17,78,2748,98,94,102
24,60,1503,88,92,108
18,79,2692,101,93,109
16,98,2368,104,94,106
16,59,3362,111,102,102
20,60,2543,97,98,104
19,72,2245,105,95,103
16,89,2787,104,98,106
14,95,3119,108,101,105
20,50,3091,103,100,109
15,99,2814,102,103,104
22,93,1471,96,92,105
22,37,4454,101,95,108
19,82,2382,99,96,108
22,96,1546,98,93,104
18,88,4660,97,88,107
19,63,2958,105,102,105
24,100,1215,92,92,105
19,34,7452,95,96,104
23,38,3758,99,100,105
25,90,1233,92,96,107
24,86,1284,90,99,107
24,99,1792,98,86,105
21,97,1930,95,99,105
15,93,4087,105,98,104
22,91,2011,92,96,106
17,92,3377,93,103,107
22,73,7312,105,96,110
12,58,7500,134,105,103
20,100,3084,92,94,104
19,89,2528,103,103,104
18,100,5289,115,96,106
18,99,5570,112,98,103
30,72,1611,93,87,104
22,95,2365,96,97,102
29,67,5890,92,96,106
21,98,4334,110,94,105
26,51,6806,120,90,104
21,100,4237,122,93,102
22,100,5281,115,99,108
26,93,1809,92,95,106
25,89,1730,95,103,103
22,90,4603,109,99,104
25,65,4053,103,94,103
29,75,1692,96,95,104
29,78,6130,115,97,109
23,91,3602,115,96,102
28,82,4384,115,94,103
27,70,4944,114,95,104
26,77,3466,109,95,107
29,94,2648,107,90,107
42,66,7090,105,94,107
30,100,1093,90,98,105
27,98,2264,99,96,102
26,99,2710,117,95,105
25,98,3469,115,99,107
24,91,4603,114,105,105
25,64,4403,107,103,105
25,79,2899,109,100,104
29,51,4831,116,97,110
32,76,1968,97,93,101
32,100,1086,90,100,107
33,60,6855,118,102,105
36,93,1122,87,90,114
36,99,1039,89,90,110
33,97,2715,99,99,102
29,96,2343,109,99,102
40,71,5465,106,100,105
34,76,1435,91,99,106
34,55,5408,107,103,106
37,68,3395,102,97,106
37,81,5674,115,106,106
40,40,4176,96,95,106
32,83,4049,107,107,106
32,99,1624,97,99,104
33,91,1575,97,98,110
39,66,1435,88,96,110
35,92,1847,95,98,109
36,80,2273,98,100,104
33,99,1463,94,101,103
44,50,5270,95,102,103
43,75,4052,97,101,107
45,42,2128,87,91,108
40,81,2046,91,98,106
43,93,2531,91,98,107
39,36,3412,93,102,104
40,88,2537,95,100,108
37,93,3122,103,106,111
42,100,2373,93,100,110
36,89,1229,90,104,107
41,76,2430,92,102,108
42,94,1475,87,96,112
38,91,1203,90,101,107
43,92,2474,91,101,110
43,58,2446,90,101,110
45,89,2551,89,103,103
40,91,1573,89,102,110
39,76,2006,92,105,108
37,99,1260,90,105,107
61,64,5098,86,97,116
49,67,4050,90,105,110
45,30,5135,91,105,111
49,78,3327,89,104,110
58,66,5365,89,105,112
66,84,5163,88,103,113
39,78,1696,91,109,108
57,66,5071,89,106,110
46,90,2161,87,103,115
42,30,3607,91,111,107
49,91,2263,85,100,119
49,71,3318,88,106,113
42,81,1118,86,103,116
52,19,7015,85,102,118
41,89,1389,87,107,114
53,82,3889,89,109,112
48,94,2701,88,108,114
49,78,2479,86,104,118
50,37,4235,87,106,116
51,30,6345,88,110,114
43,64,1745,87,110,113
53,90,3626,88,111,114
56,54,4811,87,108,117
40,100,1145,88,111,114
50,25,7120,88,113,114
55,86,3347,85,107,118
46,80,2030,87,109,118
61,46,6309,86,107,122
44,99,1252,85,107,121
78,60,7143,84,107,122
51,69,3431,87,112,117
44,93,1176,85,108,122
54,70,2141,82,99,134
51,81,2917,86,112,118
53,56,3958,87,112,119
53,36,5345,87,112,119
45,52,2640,89,116,117
44,99,965,84,107,126
48,75,3457,93,118,119
67,52,7177,87,117,116
47,96,1335,83,108,126
71,64,6877,88,120,114
44,99,1570,90,111,129
51,83,2941,86,116,119
42,99,2069,91,124,114
47,95,2640,89,122,115
63,78,4434,85,114,123
44,93,999,85,111,127
49,79,2568,88,115,125
77,64,6925,85,118,121
51,66,4311,91,125,117
66,62,5982,87,118,124
61,75,4674,87,120,121
72,57,7499,90,121,123
45,94,2357,92,120,126
53,47,4468,87,121,121
46,96,823,82,110,132
47,98,1428,84,114,128
45,41,3496,90,127,118
50,87,3355,91,126,122
42,98,959,86,119,126
51,82,3466,86,130,115
50,96,2592,85,121,125
49,66,2398,83,121,125
0,0,0,336,95,102
5,20,1785,95,104,115
6,47,563,37,104,116
2,47,3746,139,91,104
8,16,1240,97,94,119
6,6,6166,33,102,112
2,73,1549,71,105,102
4,23,1766,81,102,105
4,28,2629,62,84,104
6,29,1582,62,89,108
4,25,3440,62,93,106
4,29,2215,77,94,104
3,33,4830,93,97,104
5,14,7500,102,90,105
4,28,5954,96,93,103
2,77,6254,129,83,101
2,93,7015,104,98,101
7,8,5227,71,93,106
6,42,2254,97,93,107
6,32,4098,80,99,107
5,59,2971,122,90,105
8,12,3186,73,98,107
8,41,1264,72,98,106
5,48,5291,103,98,105
7,25,5653,82,98,106
7,69,1558,99,95,106
9,58,722,72,99,107
10,23,1862,78,94,108
7,42,3622,88,96,104
8,36,3251,91,93,105
8,35,3104,98,100,105
7,50,3176,106,93,104
6,62,4288,90,99,107
8,18,7363,105,94,104
9,100,916,84,94,105
10,25,4414,88,96,105
9,54,2657,101,94,107
9,68,1762,98,96,105
10,27,4223,94,96,105
12,30,2141,81,95,106
11,65,1531,93,96,109
8,34,5755,112,98,104
12,65,1479,89,93,107
11,48,2190,95,98,106
13,41,1589,86,96,108
13,21,5291,93,90,107
9,59,3172,104,99,105
11,55,2573,106,100,109
14,41,1645,81,98,108
12,64,2043,92,93,106
8,79,3666,97,95,103
13,64,1702,92,95,106
12,81,1499,93,99,105
14,24,4137,89,94,105
13,59,1617,93,100,108
14,65,1533,87,100,108
16,41,1940,85,95,108
14,63,1793,97,93,105
16,39,2899,93,92,111
13,70,1967,95,98,105
16,23,5344,96,92,108
15,34,3835,101,90,104
17,18,6852,94,88,107
15,42,3041,94,97,105
13,68,2995,100,89,105
17,22,5232,89,92,106
18,33,2454,89,97,110
15,43,3449,94,97,107
17,17,5372,90,99,105
13,54,3957,104,97,109
15,93,1433,95,99,105
13,94,2297,96,98,106
16,83,1736,94,90,104
13,58,4457,97,92,104
18,74,1792,98,89,107
15,87,1457,94,101,103
17,56,2344,98,95,108
15,48,3828,103,97,107
13,62,4183,99,96,104
12,43,7148,99,97,102
