invert,sepia,saturate,hue-rotate,brightness,contrast
0,100,21,2,101,107
1,52,4970,137,101,101
3,20,5957,86,107,110
1,36,6038,83,99,101
5,45,317,81,93,109
4,30,1311,112,100,108
4,4,7452,80,90,106
2,82,1598,108,100,104
3,79,4797,173,106,118
2,43,2250,93,101,102
